"Bill of Material for ¿ØÖÆ°å.PrjPCB"
"On 2009-07-13 at 16:22:43"

"Comment","Pattern","Quantity","Components"

"100n","0805C","34","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C24, C25, C26, C28, C30, C32, C34, C35, C36, C38, C39, C40",""
"10k/0.1%","0805R","1","R60",""
"10k","0805R","26","R8, R10, R12, R14, R20, R21, R22, R27, R28, R30, R31, R33, R35, R36, R38, R40, R41, R43, R45, R46, R48, R50, R51, R53, R55, R56",""
"10u/25V","RB.1/.2","2","E1, E2","Electrolytic Capacitor"
"120","0805R","1","R26",""
"148SMD","SC-1206","12","D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21",""
"1k","0805R","5","R1, R2, R3, R23, R24",""
"20","0805R","6","R32, R37, R42, R47, R52, R57",""
"200p","0805C","6","C23, C27, C29, C31, C33, C37",""
"25LC040","SOP8-50-300","1","U2",""
"2k/0.1%","0805R","1","R59",""
"2k","0805R","1","R25",""
"30k","0805R","6","R29, R34, R39, R44, R49, R54",""
"4.7k","0805R","13","R4, R5, R6, R7, R9, R11, R13, R15, R16, R17, R18, R19, R58",""
"82C250","SMD8","1","U6",""
"DB9","DB9/M","1","J3",""
"EPM570T144","TQFP-144","1","U1",""
"Header 20X2","HDR2X20","2","J1, J2","Header, 20-Pin, Dual row"
"IDC10","IDC10","1","JT1",""
"IN4004","SC-1206","9","D1, D2, D3, D4, D5, D6, D7, D8, D9",""
"MAX3221","SO16","1","U5",""
"PIN12","PIN12-3.5MM","1","X1",""
"PIN2","PIN2-0.1","1","X10",""
"PIN3","PIN3-3.5MM","1","X8",""
"PIN6","PIN6-3.5MM","3","X2, X6, X7",""
"PIN8","PIN8-3.5MM","4","X3, X4, X5, X9",""
"SN74ACT244DW","SOP20-50-400","2","U3, U4",""
"SW DIP-4","DMR-04","1","SW1","DIP Switch"
"TL074","SO14","2","U7, U8",""
"TL431","Q-TO-92","1","SR1",""
"TLP181","SOP4-100-300","8","O1, O2, O3, O4, O5, O6, O7, O8",""
