"Bill of Material for µÁ‘¥∞Â.PrjPCB"
"On 2009-07-14 at 17:02:45"

"Comment","Pattern","Quantity","Components"

"0.1u/250V","RAD-0.2","1","C1",""
"0.62/1W","AXIAL0.6","2","R17, R18",""
"1.2K/1W","AXIAL0.6","7","1R5, 1R6, 2R5, 2R6, 3R2, 4R2, 5R2",""
"1000u/25V","RB-0.2","6","1E3, 1E4, 2E3, 2E4, 3E2, 4E2","Electrolytic Capacitor"
"1000u/35V","RB-0.3","7","1E1, 1E2, 2E1, 2E2, 3E1, 4E1, 5E1","Electrolytic Capacitor"
"1000u/50V","RB-0.4","1","5E2","Electrolytic Capacitor"
"100K/2W","AXIAL0.4","1","R2",""
"100k/3W","AXIAL0.4","1","R1",""
"100n","RAD-0.2","14","1C3, 1C4, 1C5, 1C6, 2C3, 2C4, 2C5, 2C6, 3C2, 3C3, 4C2, 4C3, 5C2, 5C3",""
"100p","RAD-0.2","2","C8, C9",""
"100u/400V","RB-0.3","1","E1","Electrolytic Capacitor"
"100u/50V","RB-0.4","1","E2","Electrolytic Capacitor"
"100uH","L0.2","7","1L1, 1L2, 2L1, 2L2, 3L1, 4L1, 5L1",""
"10K","1206","1","R13",""
"10n","RAD-0.2","2","C10, C11",""
"150K","1206","1","R11",""
"15G471K","RAD-0.2","1","VAR1",""
"15K","1206","7","1R1, 1R2, 2R1, 2R2, 3R1, 4R1, 5R1",""
"1K","1206","1","R16",""
"1n/1kV","RAD-0.2","1","C7",""
"1u","RAD-0.2","7","1C1, 1C2, 2C1, 2C2, 3C1, 4C1, 5C1",""
"2*1mH","EL1","7","1LI1, 1LI2, 2LI1, 2LI2, 3LI1, 4LI1, 5LI1",""
"2.2n/1KV","RAD-0.2","1","C6",""
"2.2n","RAD-0.2","1","C12",""
"20K","1206","1","R12",""
"20k","3296","1","W1",""
"20K","AXIAL0.4","1","R9",""
"220n","RAD-0.2","1","C5",""
"224/630V","RAD-0.2","1","C4",""
"2A","FUSE-5*20MM","1","F1","Fuse"
"2SK2717","TO_220D","1","Q1",""
"332/3kV","RAD-0.2","2","C2, C3",""
"39/1W","AXIAL0.6","1","R10",""
"470p","RAD-0.2","1","C13",""
"47u/35V","RB-0.4","1","E3","Electrolytic Capacitor"
"5.1K/5W","AXIAL1.2","8","R3, R4, R5, R6, R14, R15, R19, R20",""
"510/2W","AXIAL0.8","2","R7, R8",""
"EC11FS2","SD-SOD-80","18","1D1, 1D2, 2D1, 2D2, 2D3, 2D4, 3D1, 3D2, 4D1, 4D2, 5D1, 5D2, D1, D2, D3, D4, D5, D6",""
"GREEN","LED-0.1","1","LED1",""
"MC7805","TO220-2","2","3U1, 4U1",""
"MC7815","TO220-2","2","1U1, 2U1",""
"MC7824","TO220-2","1","5U1",""
"MC7915","TO220-2","2","1U2, 2U2",""
"PIN3","PIN3-0.2","2","X2, X3",""
"PIN3","PIN3-0.3","1","JX1",""
"PIN8","PIN8-0.2","1","X1",""
"PTZ18B","DIODE0.5","1","Z1",""
"R07-OXI","EL1","1","LI1",""
"RED","LED-0.1","7","1LED1, 1LED2, 2LED1, 2LED2, 3LED1, 4LED1, 5LED1",""
"RS204","BRIDGE","1","B1",""
"TR-16","EC40-18","1","T1",""
"UC3844","DIP8","1","U1",""
