"Bill of Material for ²ÉÑù°å.PrjPCB"
"On 2009-07-13 at 16:24:58"

"Comment","Pattern","Quantity","Components"

"100n","0805C","24","C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45","Capacitor"
"10k","0805R","44","R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R54, R57",""
"10n","0805C","7","C15, C16, C17, C18, C19, C20, C21","Capacitor"
"12k","0805R","1","R51",""
"15k","0805R","1","R50",""
"1k","0805R","1","R52",""
"1n/3kV","0805C","14","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14","Capacitor"
"1n","0805C","2","C49, C50","Capacitor"
"2.2n","0805C","1","C46","Capacitor"
"200/2W","0805R","7","R1, R2, R3, R4, R5, R6, R7",""
"200k","0805R","1","R66",""
"20k","0805R","4","R55, R56, R58, R59",""
"220n","0805C","2","C47, C48","Capacitor"
"2k","1206","1","R65",""
"2k","3296","1","W1",""
"30k","0805R","1","R53",""
"4.7k","0805R","2","R60, R67",""
"LM","AXIAL0.6","28","M1, M2, M3, M4, M5, M6, M7, M8, M9, M10, M11, M12, M13, M14, M15, M16, M17, M18, M19, M20, M21, M22, M23, M24, M25, M26, M27, M28",""
"LM339","SMD14","1","U13",""
"OP07","SO8","7","U1, U2, U3, U4, U5, U6, U7","Precision Operational Amplifier"
"PIN12","PIN12-3.5MM","1","X3",""
"PIN6","PIN6-3.5MM","1","X2",""
"PIN8","PIN8-3.5MM","1","X1",""
"TL082","SO8","5","U8, U9, U10, U11, U12",""
"TLP181","SOP4-100-300","2","O1, O2",""
"X","0805R","4","R61, R62, R63, R64",""
